TOTAL	GeneChunk	runMONSTER	didFAIL	isMISSING
UBOX5	1	TRUE	FALSE	FALSE
TSPAN32	2	TRUE	FALSE	FALSE
GAPVD1	3	TRUE	FALSE	FALSE
ZNF326	4	TRUE	FALSE	FALSE
LINGO3	5	FALSE	TRUE	FALSE
ARHGEF2	6	TRUE	FALSE	FALSE
APOBEC3G	7	TRUE	FALSE	FALSE
PRX	8	TRUE	FALSE	FALSE
ZNF862	9	TRUE	FALSE	FALSE
CLASP1	10	TRUE	FALSE	FALSE
TCOF1	11	TRUE	FALSE	FALSE
PLEKHM1	12	TRUE	FALSE	FALSE
C17orf67	13	TRUE	FALSE	FALSE
SPINK8	14	TRUE	FALSE	FALSE
AKAP7	15	TRUE	FALSE	FALSE
ACTRT2	16	FALSE	TRUE	FALSE
POTEE	17	TRUE	FALSE	FALSE
ENPP5	18	TRUE	FALSE	FALSE
GCHFR	19	TRUE	FALSE	FALSE
ETNK2	20	TRUE	FALSE	FALSE
PKIB	21	TRUE	FALSE	FALSE
KLC4	22	TRUE	FALSE	FALSE
BCHE	23	TRUE	FALSE	FALSE
SPATA31A3	24	FALSE	TRUE	FALSE
FNDC3A	25	TRUE	FALSE	FALSE
SLC5A6	26	TRUE	FALSE	FALSE
ANP32A	27	TRUE	FALSE	FALSE
RASSF4	28	TRUE	FALSE	FALSE
CRB1	29	TRUE	FALSE	FALSE
IFIT1B	30	TRUE	FALSE	FALSE
PIGH	31	TRUE	FALSE	FALSE
VSX1	32	TRUE	FALSE	FALSE
IRAK1BP1	33	TRUE	FALSE	FALSE
SGK494	34	TRUE	FALSE	FALSE
GRIK2	35	TRUE	FALSE	FALSE
TIFA	36	TRUE	FALSE	FALSE
ZNF10	37	TRUE	FALSE	FALSE
UNG	38	TRUE	FALSE	FALSE
GBP2	39	TRUE	FALSE	FALSE
ZFYVE21	40	TRUE	FALSE	FALSE
CD4	41	TRUE	FALSE	FALSE
NCOA1	42	TRUE	FALSE	FALSE
ZFP1	43	TRUE	FALSE	FALSE
FOXD4L4	44	FALSE	TRUE	FALSE
OPRM1	45	TRUE	FALSE	FALSE
NFATC4	46	TRUE	FALSE	FALSE
SPOCD1	47	TRUE	FALSE	FALSE
CTRC	48	TRUE	FALSE	FALSE
EPHA2	49	TRUE	FALSE	FALSE
SSTR1	50	TRUE	FALSE	FALSE
YIPF5	51	TRUE	FALSE	FALSE
CAT	52	TRUE	FALSE	FALSE
RGS11	53	TRUE	FALSE	FALSE
KIAA1958	54	TRUE	FALSE	FALSE
AIFM3	55	TRUE	FALSE	FALSE
NUPR2	56	TRUE	FALSE	FALSE
GOLGB1	57	TRUE	FALSE	FALSE
RAB22A	58	TRUE	FALSE	FALSE
DPF3	59	TRUE	FALSE	FALSE
BDKRB2	60	TRUE	FALSE	FALSE
CTRL	61	TRUE	FALSE	FALSE
PSEN2	62	TRUE	FALSE	FALSE
TAS2R10	63	TRUE	FALSE	FALSE
JPH2	64	TRUE	FALSE	FALSE
CACNG6	65	TRUE	FALSE	FALSE
SMARCA2	66	TRUE	FALSE	FALSE
PLA2G4B	67	TRUE	FALSE	FALSE
HEATR1	68	TRUE	FALSE	FALSE
