CurrentGene,StoufferMetaP,StoufferMetaP_FDR,StoufferMetaEuropeanP,StoufferMetaEuropeanP_FDR,MetalMetaP,MetalMetaEuropeanP,MetalMetaP_FDR,MetalMetaEuropeanP_FDR,Number_missingPvalues
QRSL1,0.3102545966297857,0.8019283484349922,0.364120453514256,0.8266295271925869,0.0014294330708222887,0.004388469683149515,0.003614167434126366,0.010320150537610802,0
RTN3,0.5440058577099444,0.8722445165168297,0.6181011468823029,0.8887305530332504,0.004425698549402564,0.01437116268676059,0.007344076644451117,0.02158739973417366,0
FHIT,0.3251068176346796,0.8093205279040447,0.20414086537248613,0.7730806082745606,0.0011414326402377274,4.950895450332002e-4,0.003187462260006237,0.003718871916828185,2
MAGI1,0.675132841927738,0.8997238648442017,0.6534862697811578,0.8968931300429525,0.010993932183416448,0.019595033736985526,0.014330662788120589,0.02699017748493408,0
DCBLD2,0.683116702351629,0.9019849683031602,0.4346248617118655,0.8455704453939599,0.006971813613447192,0.007723567867328475,0.010145119607028855,0.014212552999922757,0
PDE4D,0.1033934498121874,0.6846873448425818,0.1451312802530219,0.7343810536469879,8.332246888335156e-5,3.247465750449149e-4,8.776013349060519e-4,0.0030808824793661198,0
EPM2AIP1,0.3533518332587072,0.8183063519342728,0.15432170252250982,0.7421287676771463,7.243043088645158e-4,4.89095267993729e-4,0.002482415794411623,0.003701079486541578,0
SULT1A2,0.16597150236132865,0.7317971072158215,0.20194516669670623,0.7721933930506617,4.389612296256361e-4,0.0014055528140866135,0.001913422606534987,0.005858135210675052,0
SLC14A2,0.10520840492556964,0.686505955823026,0.0880397215444306,0.6793667271052726,5.09526971477776e-4,0.0012056894880941545,0.0020656708265797906,0.005461012509059471,1
CTSW,0.20983974221525464,0.7563669992849804,0.24129725294787902,0.7940173461935365,6.99675277139149e-4,0.0022760946338608204,0.0024359403631891152,0.007373288141972484,0
EFCAB6,0.26389733590560605,0.78141623068837,0.4778400142055177,0.8568088379402511,4.414970193118483e-4,0.004211071936245221,0.001919565675064865,0.010117071780110877,0
HOMER2,0.7311518010080829,0.9123322194124559,0.732083400870914,0.9150024314223183,0.008036050392708894,0.017733494589551604,0.011264233183981122,0.025085259440238213,0
HSPB1,0.675115747019513,0.8997238648442017,0.5533858947361713,0.8731559244128366,0.005808145376117188,0.007425182569131929,0.008884810301149508,0.013895039302303543,0
NKIRAS2,0.1219263472019353,0.7034078577974008,0.0672953595998695,0.6406559052532959,0.0021386606477063258,0.0030253387656839527,0.004595895082457892,0.008513926512807758,2
STAT6,0.11758845365841149,0.701377155699767,0.12384735332356803,0.7139403730171796,3.64333765127332e-4,9.299991991653017e-4,0.0017361676177326717,0.0048941666823529885,0
FBXO10,0.8965869162604241,0.9592768931531751,0.8432112505796661,0.9459643655369607,0.02657496507002643,0.04298958334579526,0.030099260935406845,0.05015809771263507,1
ACAT1,0.34539472557149775,0.8159180848511182,0.578479845948944,0.8795536554004169,0.0031563777930527703,0.022722304323728508,0.005859497507083334,0.030128482279864446,0
DPP4,0.7199020164568807,0.908622009041094,0.6673348286282719,0.8984950633793776,0.010685585358767164,0.016163514377705426,0.01400602011518958,0.023439432767046648,0
ZDHHC11,0.9054391625035445,0.9626777798947302,0.9188860606721648,0.9668153125196591,0.026074167624565464,0.06409198920168968,0.029602119732433905,0.0709467677359551,0
DCLRE1A,0.313191541980125,0.8030430262990047,0.3109693763775312,0.8109010971348335,0.001672993097879456,0.0038924902887150937,0.003962919705972162,0.009675486268157991,0
TECRL,0.7095378772389033,0.9071517805340306,0.8368897485057332,0.944021082366679,0.005159032427930819,0.029408810263076665,0.008178804191455018,0.03681971206435918,0
DAZAP2,0.7579863172239305,0.920082412103122,0.711602010420853,0.9106071067402292,0.009377476380334263,0.013855003343807864,0.012643095638567855,0.021008224376273546,0
NEK9,0.16513264872021674,0.7317971072158215,0.13402611494049158,0.7238425199117275,5.569920561209906e-4,0.00101623001610163,0.0021640701143605676,0.005082585235218495,0
PLVAP,0.25903217133198164,0.7777396449464191,0.3178748060731238,0.8151182607436516,8.347171947986364e-4,0.002629094211669195,0.002684620044039447,0.007934376964767138,0
ZNF30,0.9332938012054841,0.9715787489429257,0.9548497779932696,0.9799891420385196,0.04431163986280372,0.09977710773856094,0.0479066056118006,0.10667090275046036,0
NAA20,0.34372174326716975,0.8154984089204842,0.514484959689963,0.8657207105190771,8.55736746405058e-4,0.0051894028797561526,0.002721665858855334,0.011310376914170705,0
POLE3,0.8568912941535383,0.9472374202568153,0.7189588378512448,0.9118543270995836,0.014809221136603448,0.013911999953135664,0.01824295569004393,0.021067258875717327,0
SPATC1L,0.3356763833387383,0.8130072527791197,0.13684240246630183,0.7249101778560032,0.0018772702055719554,0.0019141723490405838,0.00424369949196587,0.006813711954938104,1
FRZB,0.8817727986050509,0.9560729572826318,0.8274756258917926,0.9417187209974501,0.018281693114792465,0.023270488226218692,0.02177586793156007,0.030663082953641223,0
C10orf54,0.0965252096936837,0.6800923036497712,0.19445850172221027,0.7692987091489962,1.105575395644696e-4,8.689579218841151e-4,9.947513239211992e-4,0.004750901569159705,0
GATA4,0.10167316081795016,0.6838030180784818,0.2745546619202658,0.7997683855255976,0.00012556502560802986,0.002133388261980674,0.0010516916260643828,0.007141014951896209,0
FCRL2,0.07314673696175608,0.648864248594268,0.419814544314534,0.841313601288967,2.326625787886876e-4,0.01488036702991151,0.001396472181737265,0.022126238164744842,1
WDR41,0.04991445904880097,0.6158299600201873,0.03842694313146159,0.5990625401881697,6.649122994927215e-5,1.4627893468206407e-4,7.971976848510276e-4,0.0022120836305526722,0
SLC2A14,0.961693568825562,0.9819130054093786,0.9543927226505311,0.9797710693929463,0.03526453043051769,0.05174313107565638,0.03880137985636148,0.05875493300491808,0
PHYHIP,0.2958687694937059,0.7961569694030901,0.39322875420982645,0.8360692531145556,1.5807211168689537e-4,6.663602544952687e-4,0.0011538761189937242,0.004240193671780009,0
VIPR2,0.2028846080475656,0.7492021213830644,0.5907173270132173,0.8813737356480287,7.888489497012521e-4,0.020595559498819298,0.0026031317860963866,0.02800653908092013,1
USP24,0.4509797563585758,0.8522079515338636,0.5501634298851136,0.8731559244128366,0.0032163639204480197,0.01269335658275844,0.005930300080968333,0.019773831470978817,0
CENPA,0.13042159801596154,0.7116356021220389,0.034708705199515424,0.5874007142663754,1.3104691522446702e-4,1.2262158322665998e-4,0.0010730835963226478,0.0020973798025597633,0
CACHD1,0.8081678410738723,0.9341350644379887,0.6747960906134346,0.9007281258716386,0.01730035588238724,0.01789843439373193,0.020797651299441364,0.025266864681249075,0
PROKR1,0.1682394300190306,0.7331301303620642,0.27026844528780497,0.7977433442677255,9.173531376865199e-4,0.0046604721570767445,0.0028267382599683204,0.010673490231797004,0
CD36,0.6330580442755903,0.890259785204164,0.5375696001759057,0.8693612698789076,0.00774913467110606,0.011162321697374833,0.010968988729069892,0.018103605527091237,0
ANO6,0.7034658818522067,0.9061886379772822,0.6816733648810974,0.9024582239531552,0.0075050272166375795,0.01314980589529318,0.010716299096309884,0.020289716585409345,0
PHF7,0.40090768593032666,0.8373213562010815,0.563646717113257,0.8743872525478436,6.970855404819806e-4,0.004264986186376365,0.002431006030823069,0.010181515571698779,0
LRRC43,0.9395721584543263,0.9743964172342469,0.918989628920976,0.9668676813555407,0.031590210791934345,0.045078181992828856,0.0351334956545853,0.05223247154102324,0
KHDRBS3,0.039984480098745036,0.584750667181956,0.01510297902113091,0.49715355667909494,5.891098523624154e-5,6.183157843702794e-5,7.555935638313307e-4,0.0016845951277059765,0
