Gene stable ID	Gene stable ID version	Gene start (bp)	Gene end (bp)	Chromosome/scaffold name	Gene name	HGNC symbol
ENSG00000206560	ENSG00000206560.6	15708743	15901278	3	ANKRD28	ANKRD28
ENSG00000112763	ENSG00000112763.11	26458150	26476849	6	BTN2A1	BTN2A1
ENSG00000114423	ENSG00000114423.14	105374305	105588396	3	CBLB	CBLB
ENSG00000206561	ENSG00000206561.8	15491640	15563258	3	COLQ	COLQ
ENSG00000091831	ENSG00000091831.17	151977826	152450754	6	ESR1	ESR1
ENSG00000163322	ENSG00000163322.9	84382092	84444501	4	FAM175A	FAM175A
ENSG00000189319	ENSG00000189319.9	126307861	126432838	10	FAM53B	FAM53B
ENSG00000188610	ENSG00000188610.8	120837756	120855681	1	FAM72B	FAM72B
ENSG00000066468	ENSG00000066468.16	123237848	123357972	10	FGFR2	FGFR2
ENSG00000161791	ENSG00000161791.9	50031724	50101948	12	FMNL3	FMNL3
ENSG00000142549	ENSG00000142549.9	51815102	51833608	19	IGLON5	IGLON5
ENSG00000104783	ENSG00000104783.7	44270685	44285409	19	KCNN4	KCNN4
ENSG00000130592	ENSG00000130592.9	1874200	1913497	11	LSP1	LSP1
ENSG00000159871	ENSG00000159871.10	44300081	44331358	19	LYPD5	LYPD5
ENSG00000095015	ENSG00000095015.5	56111401	56191979	5	MAP3K1	MAP3K1
ENSG00000155545	ENSG00000155545.15	56215429	56267502	5	MIER3	MIER3
ENSG00000148187	ENSG00000148187.13	125026882	125085743	9	MRRF	MRRF
ENSG00000119446	ENSG00000119446.9	124999903	125027118	9	RBM18	RBM18
ENSG00000179213	ENSG00000179213.9	51749603	51772584	19	SIGLECL1	SIGLECL1
ENSG00000171943	ENSG00000171943.7	121107124	121129949	1	SRGAP2C	SRGAP2C
ENSG00000130595	ENSG00000130595.12	1940792	1959936	11	TNNT3	TNNT3
ENSG00000168930	ENSG00000168930.9	89530823	89541743	11	TRIM49	TRIM49
ENSG00000176222	ENSG00000176222.7	44376515	44405537	19	ZNF404	ZNF404
ENSG00000282278	NA	54244006	55161439	4	RP11-231C18.3	RP11-231C18.3	
